Num	Sym	Element	Group	Weight	Density	Melting	Boiling	Heat	Electronegativity	  Radius
78	Pt	Platinum	10	195.084(9)	21.46	2041.4[3]	4098	0.133	2.28	177
79	Au	Gold	11	196.966569(4)	19.282	1337.33[3]	3129	0.129	2.54	174
80	Hg	Mercury	12	200.592(3)	13.5336	234.43	629.88	0.14	2	171
81	Tl	Thallium	13	204.389	11.85	577	1746	0.129	1.62	156
82	Pb	Lead	14	207.2(1)2	11.342	600.61	2022	0.129	1.87	154
83	Bi	Bismuth	15	208.98040(1)1	9.807	544.7	1837	0.122	2.02	143
84	Po	Polonium	16	[209]1	9.32	527	1235	nodata	2	135
85	At	Astatine	17	[210]1	7	575	610	nodata	2.2	nodata
86	Rn	Radon	18	[222]1	0.00973	202	211.3	0.094	2.2	120
87	Fr	Francium	1	[223]1	1.87	300	950	nodata	0.7	nodata
88	Ra	Radium	2	[226]1	5.5	973	2010	0.094	0.9	nodata
89	Ac	Actinium	0	[227]1	10.07	1323	3471	0.12	1.1	nodata
90	Th	Thorium	0	232.03806(2)12	11.72	2115	5061	0.113	1.3	nodata
91	Pa	Protactinium	0	231.03588(2)1	15.37	1841	4300	nodata	1.5	nodata
92	U	Uranium	0	238.02891(3)1	18.95	1405.3	4404	0.116	1.38	nodata
93	Np	Neptunium	0	[237]1	20.45	917	4273	nodata	1.36	nodata
94	Pu	Plutonium	0	[244]1	19.84	912.5	3501	nodata	1.28	nodata
95	Am	Americium	0	[243]1	13.69	1449	2880	nodata	1.13	nodata
96	Cm	Curium	0	[247]1	13.51	1613	3383	nodata	1.28	nodata
97	Bk	Berkelium	0	[247]1	14.79	1259	2900	nodata	1.3	nodata
98	Cf	Californium	0	[251]1	15.1	1173	(1743)11	nodata	1.3	nodata
99	Es	Einsteinium	0	[252]1	8.84	1133	(1269)11	nodata	1.3	nodata
100	Fm	Fermium	0	[257]1	nodata	(1125)11	nodata	nodata	1.3	nodata
101	Md	Mendelevium	0	[258]1	nodata	(1100)11	nodata	nodata	1.3	nodata
102	No	Nobelium	0	[259]1	nodata	(1100)11	nodata	nodata	1.3	nodata
103	Lr	Lawrencium	3	[262]1	nodata	(1900)11	nodata	nodata	1.3	nodata
104	Rf	Rutherfordium	4	[267]1	(23.2)11	(2400)11	(5800)11	nodata	nodata	nodata
105	Db	Dubnium	5	[268]1	(29.3)11	nodata	nodata	nodata	nodata	nodata
106	Sg	Seaborgium	6	[269]1	(35.0)11	nodata	nodata	nodata	nodata	nodata
107	Bh	Bohrium	7	[270]1	(37.1)11	nodata	nodata	nodata	nodata	nodata
108	Hs	Hassium	8	[269]1	(40.7)11	nodata	nodata	nodata	nodata	nodata
109	Mt	Meitnerium	9	[278]1	(37.4)11	nodata	nodata	nodata	nodata	nodata
110	Ds	Darmstadtium	10	[281]1	(34.8)11	nodata	nodata	nodata	nodata	nodata
111	Rg	Roentgenium	11	[281]1	(28.7)11	nodata	nodata	nodata	nodata	nodata
112	Cn	Copernicium	12	[285]1	(23.7)11	nodata	357 	nodata	nodata	nodata
113	Uut	Ununtrium	13	[286]1	(16)11	(700)11	(1400)11	nodata	nodata	nodata
114	Fl	Flerovium	14	[289]1	(14)11	(340)11	(420)11	nodata	nodata	nodata
115	Uup	Ununpentium	15	[288]1	(13.5)11	(700)11	(1400)11	nodata	nodata	nodata
116	Lv	Livermorium	16	[293]1	(12.9)11	(708.5)11	(1085)11	nodata	nodata	nodata
117	Uus	Ununseptium	17	[294]1	(7.2)11	(673)11	(823)11	nodata	nodata	nodata
118	Uuo	Ununoctium	18	[294]1	(5.0)11	(258)11	(263)11	nodata	nodata	nodata
