Atomic Number,Symbol,Element,Group,Weight,Density,Melting Point,Boiling Point,Electronegativity,Atomic Radius,Oxidation Number(s),Valence
62,Sm,Samarium,0,150.36,7.52,1345,2067,1.17,238,"[2,3]",No_Data
63,Eu,Europium,0,151.964,5.243,1099,1802,1.2,231,"[2,3]",No_Data
64,Gd,Gadolinium,0,157.25,7.895,1585,3546,1.2,233,"[1,2,3]",No_Data
65,Tb,Terbium,0,158.92535,8.229,1629,3503,1.2,225,"[1,2,3,4]",No_Data
66,Dy,Dysprosium,0,162.5,8.55,1680,2840,1.22,228,"[2,3,4]",No_Data
67,Ho,Holmium,0,164.93032,8.795,1734,2993,1.23,No_Data,"[2,3]",No_Data
68,Er,Erbium,0,167.259,9.066,1802,3141,1.24,226,"[2,3]",No_Data
69,Tm,Thulium,0,168.93421,9.321,1818,2223,1.25,222,"[2,3,4]",No_Data
70,Yb,Ytterbium,0,173.054,6.965,1097,1469,1.1,222,"[2,3]",No_Data
71,Lu,Lutetium,3,174.9668,9.84,1925,3675,1.27,217,[3],No_Data
72,Hf,Hafnium,4,178.49,13.31,2506,4876,1.3,208,"[2,3,4]",No_Data
73,Ta,Tantalum,5,180.94788,16.654,3290,5731,1.5,200,"[2,3,4,5,-1]",No_Data
74,W,Tungsten,6,183.84,19.25,3695,5828,2.36,193,"[1,2,3,4,5,6,-2,-1]",No_Data
75,Re,Rhenium,7,186.207,21.02,3459,5869,1.9,188,"[1,2,3,4,5,6,7,-3,-1]",No_Data
76,Os,Osmium,8,190.23,22.61,3306,5285,2.2,185,"[1,2,3,4,5,6,7,8,-2,-1]",No_Data
77,Ir,Iridium,9,192.217,22.56,2719,4701,2.2,180,"[1,2,3,4,5,6,7,8,-3,-1]",No_Data
78,Pt,Platinum,10,195.084,21.46,2041.4,4098,2.28,177,"[1,2,3,4,5,6,-2,-1]",No_Data
79,Au,Gold,11,196.966569,19.282,1337.33,3129,2.54,174,"[1,2,3,5,-1]",No_Data
80,Hg,Mercury,12,200.592,13.5336,234.43,629.88,2,171,"[1,2,4]",No_Data
81,Tl,Thallium,13,204.389,11.85,577,1746,1.62,156,"[1,3,-1]",No_Data
82,Pb,Lead,14,207.2,11.342,600.61,2022,1.87,154,"[2,4,-4]",No_Data
83,Bi,Bismuth,15,208.9804,9.807,544.7,1837,2.02,143,"[1,3,5,-3]",No_Data
84,Po,Polonium,16,209,9.32,527,1235,2,135,"[2,4,5,6,-2]",No_Data
85,At,Astatine,17,210,7,575,610,2.2,No_Data,"[1,3,5,7,-1]",No_Data
86,Rn,Radon,18,222,0.00973,202,211.3,2.2,120,"[2,6]",No_Data
87,Fr,Francium,1,223,1.87,300,950,0.7,No_Data,[1],No_Data
88,Ra,Radium,2,226,5.5,973,2010,0.9,No_Data,[2],No_Data
89,Ac,Actinium,0,227,10.07,1323,3471,1.1,No_Data,"[2,3]",No_Data
90,Th,Thorium,0,232.03806,11.72,2115,5061,1.3,No_Data,"[2,3,4]",No_Data
91,Pa,Protactinium,0,231.03588,15.37,1841,4300,1.5,No_Data,"[2,3,4,5]",No_Data
92,U,Uranium,0,238.02891,18.95,1405.3,4404,1.38,No_Data,"[2,3,4,5,6]",No_Data
93,Np,Neptunium,0,237,20.45,917,4273,1.36,No_Data,"[3,4,5,6,7]",No_Data
94,Pu,Plutonium,0,244,19.84,912.5,3501,1.28,No_Data,"[3,4,5,6,7,8]",No_Data
95,Am,Americium,0,243,13.69,1449,2880,1.13,No_Data,"[2,3,4,5,6,7]",No_Data
96,Cm,Curium,0,247,13.51,1613,3383,1.28,No_Data,"[2,3,4,6,8]",No_Data
97,Bk,Berkelium,0,247,14.79,1259,2900,1.3,No_Data,"[2,3,4]",No_Data
98,Cf,Californium,0,251,15.1,1173,1743,1.3,No_Data,"[2,3,4]",No_Data
99,Es,Einsteinium,0,252,8.84,1133,1269,1.3,No_Data,"[2,3,4]",No_Data
100,Fm,Fermium,0,257,No_Data,1125,No_Data,1.3,No_Data,"[2,3]",No_Data
101,Md,Mendelevium,0,258,No_Data,1100,No_Data,1.3,No_Data,"[2,3]",No_Data
102,No,Nobelium,0,259,No_Data,1100,No_Data,1.3,No_Data,"[2,3]",No_Data
103,Lr,Lawrencium,3,262,No_Data,1900,No_Data,1.3,No_Data,[3],No_Data
104,Rf,Rutherfordium,4,267,23.2,2400,5800,No_Data,No_Data,[4],No_Data
105,Db,Dubnium,5,268,29.3,No_Data,No_Data,No_Data,No_Data,[5],No_Data
106,Sg,Seaborgium,6,269,35,No_Data,No_Data,No_Data,No_Data,[6],No_Data
107,Bh,Bohrium,7,270,37.1,No_Data,No_Data,No_Data,No_Data,[7],No_Data
108,Hs,Hassium,8,269,40.7,No_Data,No_Data,No_Data,No_Data,[8],No_Data
109,Mt,Meitnerium,9,278,37.4,No_Data,No_Data,No_Data,No_Data,[8],No_Data
110,Ds,Darmstadtium,10,281,34.8,No_Data,No_Data,No_Data,No_Data,[No_Data],No_Data
111,Rg,Roentgenium,11,281,28.7,No_Data,No_Data,No_Data,No_Data,[No_Data],No_Data
112,Cn,Copernicium,12,285,23.7,No_Data,357,No_Data,No_Data,[No_Data],No_Data
113,Uut,Ununtrium,13,286,16,700,1400,No_Data,No_Data,[No_Data],No_Data
114,Fl,Flerovium,14,289,14,340,420,No_Data,No_Data,[No_Data],No_Data
115,Uup,Ununpentium,15,288,13.5,700,1400,No_Data,No_Data,[No_Data],No_Data
116,Lv,Livermorium,16,293,12.9,708.5,1085,No_Data,No_Data,[No_Data],No_Data
117,Uus,Ununseptium,17,294,7.2,673,823,No_Data,No_Data,[No_Data],No_Data
118,Uuo,Ununoctium,18,294,5,258,263,No_Data,No_Data,[No_Data],No_Data
